emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,505/294,Viti,Shkolla Fillore '28 Nëntori',2611d,02D,1,1,6:10,06:07,1,6,0,850,836,2,1,1,1,1,7,1,1,1,1,0,0,0,372,1,13,16,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,372,1,0,1,1,372,20,1,1,1,0,4,0,13,13,1,,,0
,505/728,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,01R,1,1,06:30,06:08,2,6,1,600,724,2,1,1,1,1,7,1,1,1,1,50,75,173,274,2,0,29,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,0,274,1,0,0,1,274,26,1,1,1,0,3,0,0,0,0,,,0
,,Suharekë,Shkolla 'Dëshmorët e Tivarit',2423a,02D,1,1,06:00,06:38,2,4,1,500,483,2,1,1,1,1,7,1,1,1,1,36,99,162,193,0,11,7,1,2,2,2,2,2,2,1,2,1,0,0,1,2,19:05,2,2,1,2,1,1,1,1,182,1,1,1,1,182,11,1,1,1,1,3,2,11,11,1,,,0
,505/1875,Kaçanik, Shkolla 'Emin Duraku',0701x,06R,1,1,06:00,05:58,1,6,3,750,862,2,1,1,1,1,7,1,1,1,1,46,140,279,390,3,0,28,1,2,2,2,2,2,2,2,2,2,0,0,0,2,07:00,2,0,1,2,1,1,1,1,390,1,1,1,1,389,14,1,0,1,1,3,2,0,0,1,,,0
,505883,Viti,Shkolla Fillore 'Mirali  Sejdiu',2632d,01D,0,1,05:50,05:50,1,6,0,800,786,2,1,1,1,1,7,1,1,1,1,60,120,260,348,1,1,13,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,0,1,2,1,1,1,1,343,1,0,1,1,343,21,1,1,0,0,3,2,0,1,0,,,0
,1431,Kaçanik, Shkolla 'Emin Duraku',0701x,08D,1,1,05:57,05:55,2,5,3,750,659,2,1,1,1,1,7,1,1,1,1,38,121,195,290,0,21,29,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,1,1,290,1,0,1,1,269,13,1,1,1,1,2,2,21,21,1,,,0
,505/384,Suharekë,Gjimnazi 'Jeta e Re',2401a,02R,1,1,06:05,06:00,2,7,2,800,905,2,1,1,1,1,7,1,1,1,1,46,153,260,403,0,0,19,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:05,1,1,2,2,1,1,1,1,403,1,1,1,1,403,18,1,1,1,0,1,0,0,0,0,,,0
,505/973,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,02R,2,1,06:15,06:01,1,10,2,600,739,2,1,1,1,1,7,1,1,1,1,27,80,153,242,0,0,24,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:05,2,0,1,2,1,1,1,1,242,1,1,1,1,242,16,1,1,0,0,2,0,0,0,0,,,0
,1083,Suharekë,Shkolla 'Hasan Prishtina',2421a,02D,1,1,06:00,06:00,1,6,3,650,609,2,1,1,1,1,7,1,1,1,1,31,60,160,213,0,0,30,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,213,1,1,1,1,213,7,1,1,1,1,3,2,0,0,0,,,0
,5051672,Viti,Shkolla Fillore 'Mirali Sejdiu',2631d,01D,1,1,06:00,06:15,1,6,1,750,367,2,1,1,1,1,7,1,1,1,1,50,218,265,367,3,0,33,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,367,1,1,1,1,367,21,1,0,1,1,2,2,0,0,0,,,0
,0505,Kaçanik,Shkolla Fillore 'Idriz Seferi',0716d,01D,1,1,05:50,05:55,2,6,1,550,501,2,1,1,1,1,7,1,1,1,1,36,88,175,226,1,3,32,1,2,2,2,2,2,2,1,2,1,0,0,0,2,19:00,2,0,1,2,1,1,1,1,224,1,1,1,1,223,17,1,1,1,1,4,2,3,3,0,,,0
,768,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,03R,1,1,06:00,06:05,0,6,1,650,774,2,1,1,1,1,7,1,1,1,1,58,120,200,273,0,0,23,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,273,1,1,1,1,273,10,1,1,0,0,4,2,0,0,0,,,0
,1546,Suharekë,Shkolla '11 Marsi',2413a,03D,1,1,06:00,06:27,1,6,1,750,700,2,1,1,1,1,7,1,1,1,1,46,100,209,313,8,8,12,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,311,2,2,1,1,313,7,1,1,0,0,3,2,8,8,0,,,0
,5051719,Viti,Shkolla Fillore 'Dëshmoret e Vitisë',2630d,02D,1,1,06:00,06;20,1,6,2,700,658,2,1,1,1,1,7,1,1,1,1,45,91,163,265,7,7,26,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,1,2,1,1,1,1,258,1,0,1,1,258,24,1,1,0,0,4,2,7,7,1,,,0
,505/259,Kaçanik, Shkolla 'Emin Duraku',0701x,04R,1,1,06:05,06:02,1,6,3,750,858,2,1,1,1,1,7,1,1,1,1,47,103,220,319,0,0,13,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:10,1,1,1,2,1,1,1,1,319,1,1,1,1,319,24,1,0,1,0,4,2,0,0,0,,,0
,0505,Suharekë,Shkolla 'Flamuri i Arbërit',2415a,01R,1,1,06:45,06:38,1,17,5,300,429,2,1,1,1,1,7,1,1,1,1,30,56,129,194,1,0,12,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,194,1,1,1,1,194,5,1,1,1,0,3,2,0,0,0,,,0
,1432,Suharekë,Gjimnazi 'Jeta e Re',2401a,03R,0,1,06:05,06:05,0,7,2,800,937,2,1,1,1,1,7,1,1,1,1,34,155,254,393,22,0,29,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:00,2,2,2,2,1,1,1,1,393,1,0,1,1,393,18,1,1,1,0,0,2,0,0,0,,,0
,1315,Suharekë,Shkolla 'Kongresi i Manastirit',2417a,01R,1,1,06:35,06:30,1,7,2,800,933,2,1,1,1,1,7,1,1,1,1,58,127,250,398,2,0,42,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:10,2,2,2,2,1,1,1,1,398,1,1,1,1,398,21,0,0,1,1,0,0,0,0,0,,,0
,5051550,Viti,Shkolla Fillore 'Dëshmoret e Vitisë',2630d,01R,1,1,06:00,06;20,1,6,1,650,766,2,1,1,1,1,7,1,1,1,1,47,119,224,334,2,0,35,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,334,1,1,1,1,334,25,1,1,1,1,4,2,0,0,0,,,0
,2258,Suharekë,Shkolla Teknike 'Skënder Luarasi',2408a,02R,1,1,06:05,06:05,1,7,1,500,604,2,1,1,1,1,7,1,1,1,1,55,162,226,310,0,0,20,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,309,1,1,1,1,309,7,1,1,1,0,4,2,0,0,0,,,0
,501/1236,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,03R,1,1,06:00,06:00,0,6,1,750,865,2,1,1,1,1,7,1,1,1,1,40,88,195,338,0,0,25,1,2,2,2,2,2,2,1,0,2,0,0,0,2,19:13,2,0,1,2,1,1,1,1,336,1,1,1,1,336,25,1,1,1,1,4,2,0,0,0,,,0
,505530,Viti,Shkolla Fillore 'Nazmi Pajaziti',2628d,01D,1,1,06:00,06:00,1,6,1,850,800,2,1,1,1,1,7,1,1,1,1,70,135,340,382,2,0,36,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,382,0,0,0,0,382,25,1,1,0,0,3,2,0,0,0,,,0
,5052054,Suharekë,Shkolla Fillore 'Vëllezërit Frashëri',2430a,02D,1,0,06:00,07:00,1,12,5,650,625,2,1,1,1,1,7,1,1,1,1,44,106,283,337,0,6,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,331,1,2,1,0,331,14,1,1,1,1,2,2,0,0,0,,,0
,505/972,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,02R,1,0,06:00,06:00,1,6,1,750,862,2,1,1,1,1,7,1,1,1,1,58,116,235,354,19,0,32,1,2,2,2,2,2,2,2,2,0,0,0,0,2,07:06,2,0,1,2,1,1,1,1,354,1,1,1,1,354,22,1,1,1,0,3,2,0,0,0,,,0
,0870,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,07D,1,1,06:00,05:50,1,6,3,450,442,2,1,1,1,1,7,1,1,1,1,23,50,108,171,0,30,12,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,2,1,2,1,1,1,1,141,1,1,1,1,141,14,1,1,1,1,3,2,30,30,1,,,0
,1545,Suharekë,Gjimnazi 'Jeta e Re',2401a,05R,1,1,06:00,06:03,1,17,5,750,863,2,1,1,1,1,7,1,1,1,1,48,106,286,379,4,0,22,0,1,2,2,2,2,0,1,2,2,0,0,1,0,19:05,1,1,0,2,1,1,1,1,379,1,1,1,1,379,10,1,0,1,0,4,0,0,0,0,,,0
,1552,Kaçanik,Shkolla Fillore '7 Shtatori',0713d,02R,1,1,05:40,05:00,1,6,1,600,711,2,1,1,1,1,7,1,1,1,1,75,123,213,341,0,0,36,1,2,2,2,2,2,2,2,1,2,0,0,1,2,19:00,2,2,1,2,1,1,1,1,341,2,2,1,1,341,15,1,1,0,1,0,2,0,0,0,,,0
,,Kaçanik,Shkolla Fillore '7 Shtatori',0713d,01R,1,1,06:00,05:50,2,6,1,650,0,2,1,1,1,1,7,1,1,1,1,49,96,183,296,0,0,20,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,0,2,1,2,1,1,1,1,296,2,0,1,0,0,12,1,1,0,0,1,2,0,0,0,,,0
,0505,Suharekë,Shkolla 'Kongresi i Manastirit',2417a,02R,1,1,06:30,06:36,2,19,2,800,941,2,1,1,1,1,7,1,1,1,1,70,132,264,380,0,0,47,1,2,0,2,2,2,0,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,380,1,1,1,1,380,15,1,0,1,0,0,0,0,0,0,,,0
,505/489,Kaçanik,Shkolla Fillore 'Idriz Seferi',0719d,01R,1,1,06:00,06:10,1,6,1,500,641,2,1,1,1,1,7,1,1,1,1,55,85,164,282,1,0,30,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,1,1,2,1,1,1,1,282,1,1,1,1,282,0,1,0,1,0,1,2,0,0,0,,,0
,2904,Suharekë,Shkolla  'Ramë Bllaca',2426a,02R,1,1,06:40,06:40,1,8,2,750,894,2,1,1,1,1,7,1,1,1,1,52,97,248,338,2,0,31,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:13,2,2,2,2,1,1,1,1,339,2,2,1,1,338,24,1,1,1,1,0,2,0,0,0,,,0
,505/510,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,04R,1,1,06:00,06:00,0,6,2,699,365,2,1,1,1,1,7,1,1,1,1,60,140,264,462,3,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:10,1,1,1,2,1,1,1,1,365,1,1,1,1,365,15,1,1,0,0,0,0,0,0,0,,,0
,2055,Suharekë,Shkolla 'Dëshmorët e Kombit',2409a,02R,1,1,06:10,06:30,2,16,3,750,899,2,1,1,1,1,7,1,1,1,1,62,60,140,386,0,0,0,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,2,2,1,1,1,1,386,1,1,1,1,386,15,1,1,1,1,4,2,0,0,0,,,0
,505/918,Kaçanik, Shkolla 'Emin Duraku',0701x,05R,1,0,05:55,05:55,2,6,0,750,887,2,1,1,1,1,7,1,1,1,1,39,104,220,343,0,0,22,1,2,2,0,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,0,1,1,1,343,0,0,1,0,343,13,1,1,1,1,0,2,0,0,0,,08/06/2014,0
,146,Suharekë,Shkolla 'Sadri Dula',2424a,01R,1,1,06:00,05:55,2,7,1,600,719,2,1,1,1,1,7,1,1,1,1,49,113,139,276,0,0,20,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,276,1,0,1,1,276,22,1,1,0,0,0,0,0,0,0,,,0
,1855,Kaçanik, Shkolla 'Emin Duraku',0701x,07R,1,1,06:10,05:58,2,13,5,750,846,2,1,1,1,1,7,1,1,1,1,60,123,300,421,0,0,23,0,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,421,1,1,1,1,421,13,1,0,0,0,3,2,0,0,1,,,0
,,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,01R,1,1,06:60,05:50,0,17,5,750,852,2,1,1,1,1,7,1,1,1,1,48,106,218,303,0,0,21,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:10,0,0,1,2,1,1,1,1,303,1,0,1,1,303,20,1,1,0,0,4,2,0,0,0,,,0
,0505,Kaçanik, Shkolla 'Emin Duraku',0701x,03R,1,1,06:10,06:02,1,6,2,650,907,2,1,1,1,1,7,1,1,1,1,53,137,238,362,1,0,36,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,1,1,1,2,1,1,1,1,362,1,1,1,1,362,20,1,1,1,1,3,2,0,0,0,,,0
,505,Kaçanik,Shkolla Fillore 'Naim Frasheri',0715d,01D,1,1,,06:00,0,5,0,650,618,2,1,1,1,1,7,1,1,1,1,30,65,125,161,4,9,21,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,1,2,1,1,1,1,161,1,1,1,1,161,18,1,0,1,1,0,2,9,9,0,,,0
,505/806,Suharekë,Shkolla 'Sadri Dula',2425a,01D,1,1,06:15,05:45,1,22,2,100,690,2,1,1,1,1,7,1,1,1,1,41,68,170,212,0,6,2,0,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,206,1,1,1,1,206,14,1,1,1,1,4,2,6,6,0,,,0
,1114,Kaçanik,Shkolla Fillore 'Gafurr Luma',0702d,02D,1,1,06:00,05:55,2,11,0,750,725,2,1,1,1,1,7,1,1,1,1,49,120,207,303,3,33,58,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,267,1,1,1,1,267,17,1,1,1,1,3,2,33,33,1,,,0
,1547,Suharekë,Shkolla Fillore 'Dëshmorët e Greikocit',2405a,01R,1,1,06:00,06:12,2,7,0,750,885,2,1,1,1,1,7,1,1,1,1,48,101,336,408,0,0,11,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,2,2,1,1,1,1,408,1,1,1,1,408,12,1,1,0,1,0,2,0,0,0,,,0
,1910,Kaçanik, Shkolla 'Emin Duraku',0701x,01R,1,1,06:00,05:59,2,6,2,750,876,2,1,1,1,1,7,1,1,1,1,52,148,253,357,3,0,28,1,1,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,357,1,1,1,1,357,8,1,0,0,0,0,0,0,0,0,,,0
,0505,Suharekë,Shkolla 'Gjergj Kastrioti',2402a,03D,1,1,06:25,06:15,2,7,1,750,711,2,1,1,1,1,7,1,1,1,1,52,101,231,284,0,8,23,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:05,2,0,2,2,1,1,1,1,284,1,1,1,1,276,7,1,1,1,1,4,2,8,8,1,,,0
,2201,Suharekë,Shkolla 'Gjergj Kastrioti',2402a,02R,1,1,06:00,06:05,1,7,2,700,822,2,1,1,1,1,7,1,1,1,1,78,139,241,344,0,0,47,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,344,1,1,1,1,344,9,1,1,1,1,4,2,0,0,0,,,0
,505/2034,Kaçanik,Shkolla Fillore 'Idriz Seferi',0719d,02D,1,1,06:00,05:50,1,5,2,450,443,2,1,1,1,1,7,1,1,1,1,41,77,153,204,5,5,20,1,2,2,2,2,2,2,0,2,2,0,0,1,2,19:00,2,2,1,2,1,1,0,1,204,1,1,1,1,199,2,1,1,1,0,2,2,5,5,0,,,0
,1879,Suharekë,Shkolla 'Gjergj Kastrioti',2402a,01R,1,1,06:15,06:50,2,6,0,750,883,2,1,1,1,1,7,1,1,1,1,82,188,303,386,6,0,30,0,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,2,2,2,1,1,1,1,386,2,2,1,1,386,12,1,1,0,0,4,2,0,0,1,,,0
,2281,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,04D,1,1,06:00,06:30,2,6,1,600,574,2,1,1,1,1,7,1,1,1,1,40,90,196,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19:00,2,0,2,2,1,1,1,1,261,1,1,0,0,237,8,0,0,0,0,0,0,0,0,0,,,0
,505/385,Suharekë,Gjimnazi 'Jeta e Re',2401a,10D,1,1,06:00,06:45,0,7,2,550,543,2,1,1,1,1,7,1,1,1,1,35,153,230,292,0,80,18,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,212,1,1,1,1,212,10,1,1,0,0,4,2,80,80,0,,,0
,,Kaçanik,Shkolla Fillore 'Qamil Ilazi',0703d,01R,1,1,06:11,05:30,1,6,1,920,0,2,1,1,1,1,7,1,1,1,0,54,58,168,153,2,0,15,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,433,0,0,1,1,433,24,0,0,0,0,0,0,0,0,0,,,0
,,Kaçanik,Shkolla Fillore '7 Shtatori',0713d,03D,0,1,06:00,05:55,0,6,1,525,525,2,1,1,1,1,7,1,1,1,1,45,98,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
,505/1749,Kaçanik,Shkolla Fillore 'Ali Asllani',0707d,03R,1,1,06:30,06:25,1,6,0,700,806,2,1,1,1,1,7,1,1,1,1,46,89,176,275,0,0,22,1,2,2,2,2,2,2,2,1,2,0,0,0,2,19:10,2,0,1,2,1,1,1,1,272,1,0,1,1,273,6,1,1,1,0,4,2,0,0,0,,,0
,2304,Suharekë,Shkolla 'V.P. Shkodrani',2414a,02D,0,1,04:00,06:00,0,7,0,750,350,2,1,1,1,1,7,1,1,1,1,160,132,260,350,0,5,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,350,1,1,1,1,345,17,0,1,1,1,4,2,5,5,1,,,0
,1865,Kaçanik,Shkolla Fillore 'Dituria',0710d,01D,1,1,06:10,06:03,1,19,1,700,662,2,1,1,1,1,7,1,1,1,1,31,72,176,230,1,6,22,1,2,2,2,2,2,2,2,2,0,0,0,0,2,19:00,2,0,1,2,1,1,1,1,230,1,1,1,1,230,21,1,1,1,0,0,0,6,6,0,,,0
,5051255,Viti,Shkolla Fillore 'Njazi Rexhepi',2629d,01D,1,1,06:00,06:35,2,6,0,700,673,2,1,1,1,1,7,1,1,1,1,43,139,250,338,0,0,25,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,338,1,1,1,1,338,13,1,1,1,0,4,2,0,0,0,,,0
,0729,Kaçanik,Shkolla Fillore 'Jusuf Gërvalla' ,0705d,02D,1,1,06:00,06:00,1,5,1,650,635,2,1,1,1,1,7,1,1,1,1,33,83,157,230,1,6,26,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,229,2,2,1,1,229,18,1,1,1,1,4,2,6,6,2,,,0
,162,Suharekë,Shkolla 'Naum Veqilharxhi',2411a,02D,1,1,06:00,06:30,1,7,1,550,548,2,1,1,1,1,7,1,1,1,1,50,95,189,254,0,7,23,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,254,1,0,1,1,247,12,1,1,1,1,4,2,7,7,1,,,0
,1764,Kaçanik,Shkolla Fillore 'Gafurr Luma',0702d,01R,1,1,06:00,05:55,2,6,0,650,738,2,1,1,1,1,7,1,1,1,1,40,86,184,241,0,0,41,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:04,1,1,1,2,1,1,1,1,241,1,1,1,1,241,9,1,1,1,1,2,2,0,0,0,,,0
,505/533,Viti,Shkolla Fillore ' 28 Nëntori',2627d,02D,1,1,06:20,06:10,1,6,0,550,523,2,1,1,1,1,7,1,1,1,1,70,135,215,283,26,1,24,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,283,1,1,1,1,283,11,1,1,0,0,4,0,1,1,2,,,0
,1963,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,06R,1,1,06:00,05:58,1,6,2,750,893,2,1,1,1,1,7,1,1,1,1,55,125,275,340,0,0,31,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:05,2,0,1,2,1,1,1,1,340,1,1,1,1,340,13,1,1,1,1,4,2,0,0,0,,,0
,1962,Kaçanik,Shkolla Fillore 'Jusuf Gërvalla' ,0705d,01R,1,1,06:00,05:58,1,10,5,650,790,2,1,1,1,1,7,1,1,1,1,54,97,198,315,1,0,41,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,315,1,1,1,1,315,12,1,1,1,1,4,2,0,0,0,,,0
,907,Suharekë,Shkolla 'Naum Veqilharxhi',2411a,01R,1,1,06:00,06:30,1,7,1,550,692,2,1,1,1,1,7,1,1,1,1,50,114,206,303,0,0,18,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,303,1,0,1,1,303,11,1,1,1,1,4,2,0,0,0,,,0
,505329,Viti,Shkolla Fillore ' 28 Nëntori',2627d,01R,1,1,06:00,06:00,1,6,0,400,507,2,1,1,1,1,7,1,1,1,1,57,110,185,255,26,0,21,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,2,1,2,1,1,1,1,255,1,1,1,1,255,15,1,1,0,0,0,2,0,0,0,,,0
,505/2280,Kaçanik,Shkolla Fillore 'Emin Duraku',0717d,01D,1,1,05:00,06:00,1,5,0,350,340,2,1,1,1,1,7,1,1,1,1,28,58,72,86,0,11,11,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,1,2,1,1,1,1,86,1,1,1,1,86,13,1,1,1,1,0,2,0,11,1,,,0
,505/74,Kaçanik,Shkolla Fillore 'Emin Duraku',0718d,01D,1,1,06:08,06:05,1,6,0,200,199,1,1,1,1,1,7,1,1,1,1,11,18,35,40,0,8,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,40,0,0,0,1,31,1,1,1,1,0,3,2,8,8,0,,,0
,505/76,Suharekë,Shkolla Teknike 'Skënder Luarasi',2408a,04D,1,1,05:30,06:40,2,9,5,450,440,2,1,1,1,1,7,1,1,1,1,64,150,170,219,0,15,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,2,2,1,1,1,1,203,0,0,1,0,203,4,1,1,0,0,4,0,15,15,0,,,0
,1121,Viti,Shkolla Fillore 'Skender Emerllahu',2626d,02D,1,1,06:00,06:00,1,6,0,500,467,2,1,1,1,1,7,1,1,1,1,36,83,170,231,0,16,18,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,0,0,1,2,1,1,1,1,215,1,1,1,1,215,15,1,1,0,0,4,2,16,16,0,,,0
,505/36,Suharekë,Shkolla Fillore 'Iliria',2404a,01R,1,1,06:00,06:30,0,15,1,450,591,2,1,1,1,1,7,1,1,1,1,66,90,210,289,26,0,24,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,2,2,1,1,1,1,289,1,1,1,1,289,11,1,1,1,0,4,2,0,0,0,,,0
,505/983,Kaçanik,Shkolla Fillore 'Jusuf Gervalla',0708d,01D,1,1,06:00,05:55,0,6,1,800,780,2,1,1,1,1,7,1,1,1,1,82,144,270,380,2,4,39,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,1,2,1,1,1,1,379,1,1,1,1,380,14,1,1,1,1,4,2,0,4,0,,,0
,,Viti,Shkolla Fillore 'Skender Emerllahu',2626d,01R,1,1,06:10,06:05,1,6,0,750,860,2,1,1,1,1,7,1,1,1,1,60,128,273,381,0,0,22,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:05,2,0,2,2,1,1,1,1,381,1,1,1,1,381,18,1,1,0,0,4,2,0,0,0,,,0
,1866,Kaçanik,Shkolla Fillore 'Qamil Ilazi',0703d,02D,1,2,06:00,06:00,1,5,0,750,745,2,1,1,1,1,7,1,1,1,1,43,114,269,371,25,21,45,1,2,2,2,2,2,2,2,1,2,0,0,0,1,19:08,1,1,1,2,1,1,1,1,371,1,1,1,1,349,15,1,1,1,1,3,2,22,22,1,,08/06/2014,1
,505/1308,Suharekë,Shkolla 'Migjeni',2407a,03D,1,1,06:00,06:30,1,7,2,750,718,2,1,1,1,1,7,1,1,1,1,36,90,260,372,0,21,21,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:05,2,0,2,2,1,1,1,1,372,1,1,1,1,351,14,1,1,1,0,4,2,21,21,0,,,0
,1489,Kaçanik,Shkolla Fillore 'Agim Bajrami',0704d,02D,1,1,06:47,06:20,1,6,0,550,535,2,1,1,1,1,7,1,1,1,1,26,61,126,188,4,12,29,1,2,1,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,176,1,1,1,1,176,15,1,1,1,1,4,2,12,12,1,,,0
,1419,Viti,Shkolla e Mesme  'Januz Zejnullahu',2601x,05D,1,1,06:15,06:10,2,6,2,500,481,2,1,1,1,1,7,1,1,1,1,25,65,131,177,4,12,14,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,165,1,1,1,1,165,9,1,1,1,1,3,2,12,12,1,,,0
,1074,Kaçanik,Shkolla Mesme 'Skenderbeu',0701d,05R,1,1,06:00,05:55,1,6,2,700,836,2,1,1,1,1,7,1,1,1,1,55,146,282,399,11,0,44,1,2,2,2,2,2,2,2,2,2,0,0,0,2,07:00,0,0,1,2,1,1,1,1,399,1,1,1,1,399,21,1,1,0,0,0,0,0,0,0,,,0
,505/1307,Suharekë,Shkolla 'Migjeni',2407a,02R,1,1,06:00,06:30,1,6,0,850,821,2,1,1,1,1,7,1,1,1,1,49,100,252,347,0,0,4,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:05,2,0,2,2,1,1,1,1,347,1,0,1,1,347,17,1,1,1,0,4,2,0,0,0,,,0
