emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,505/18,Podujevë,Shkolla Fillore 'Kongresi i Manastirit' ,1812e,01R,1,1,06:00,06:00,0,15,2,800,924,2,1,1,1,1,7,1,1,1,1,50,93,253,392,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,392,1,2,1,1,392,12,0,1,1,1,0,2,0,0,0,,,0
,2015,Gjilan,Shkolla Fillore 'Abaz Ajeti',0401d,15R,1,1,06:00,06:30,1,7,2,800,922,3,1,1,1,1,7,1,1,1,1,55,120,301,405,3,0,22,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,1,1,1,2,1,1,1,1,405,1,1,1,1,405,13,1,1,1,1,4,2,0,0,0,,,0
,505/18,Podujevë,Shkolla Fillore ''Afrimi E Fahriu'' ,1803e,02R,1,1,06:00,06:00,0,8,1,500,611,2,1,1,1,1,7,1,1,1,1,36,93,193,274,0,0,1,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,273,1,1,1,0,273,16,1,1,1,1,2,2,0,0,1,,,0
,505/511,Gjilan,Shkolla Fillore 'Selami Hallaqi',0402d,01R,1,1,06:02,06:45,2,7,2,800,919,3,1,1,1,1,7,1,1,1,1,71,194,312,480,3,0,38,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,480,1,1,1,1,480,28,1,1,1,1,4,2,0,0,0,,,0
,50518,Podujevë,Gimnazium 'Enver Malokui',1801x,02R,1,1,05:57,06:20,1,6,3,800,919,3,1,1,1,1,7,1,1,1,1,63,120,246,389,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19:00,2,0,2,2,1,1,1,1,389,0,0,0,0,389,13,1,1,1,1,0,2,0,0,0,,,0
,1904,Gllogoc,Shkolla 'Migjeni' ,0308e,02R,1,1,06:10,06:35,1,5,0,700,809,2,1,1,1,1,7,1,1,1,1,53,177,304,393,25,0,20,1,0,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,393,1,1,1,1,393,24,1,1,1,1,3,2,0,0,1,,,0
,505/2069,Gllogoc,Shkolla Fillore 'Ali Gashi',0320e,02R,1,1,05:35,06:50,1,7,2,800,905,3,1,0,0,0,7,1,1,1,1,53,126,274,429,14,0,34,0,2,2,2,2,2,2,1,2,2,0,0,0,0,19:00,2,0,1,2,1,1,1,1,429,1,1,1,1,429,33,1,1,1,0,4,2,0,0,0,,,0
,505/563,Gllogoc,Shkolla 'Shaban Polluzha' ,0303e,01R,1,1,07:00,06:30,1,12,4,500,613,3,1,1,1,1,7,1,1,1,1,40,108,190,280,4,0,11,1,2,2,2,2,2,2,1,2,2,0,0,1,2,07:00,2,2,1,2,1,1,1,1,286,1,1,1,1,286,16,1,1,1,1,3,2,0,0,0,,,0
,50518,Podujevë,Shkolla Fillore 'Naim Frashëri',1802x,04D,1,1,06:00,05:40,1,7,1,750,741,2,1,1,1,1,7,0,0,0,0,67,123,262,410,0,20,8,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,410,1,1,1,1,410,20,1,1,0,0,4,2,20,20,1,,,0
,0638,Gllogoc,Shkolla Fillore 'Ali Gashi',0320e,04D,1,1,06:30,06:50,1,6,1,500,457,3,1,1,1,1,7,1,1,1,1,0,0,190,252,15,66,27,1,2,2,2,2,2,2,0,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,187,1,1,1,1,187,9,1,1,1,0,4,2,66,0,0,,,0
,,Podujevë,Shkolla e Mesme Ekonomike  'Isa Boletini' ,1824e,11R,1,1,06:30,05:45,1,6,0,800,947,2,1,1,1,1,7,0,0,0,0,41,101,150,0,49,0,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,1,1,314,1,1,1,1,314,12,1,1,1,0,2,2,0,0,0,,,0
,,Gllogoc,Shkolla 'Bajram Curri',0310e,03D,1,0,06:05,06:40,1,6,1,750,726,2,1,1,1,1,7,1,1,1,1,80,180,296,387,0,37,28,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,1,1,2,1,1,1,1,350,1,1,1,1,350,32,1,1,1,1,3,2,37,37,1,,,0
,505/232,Podujevë,Shkolla Fillore ''Afrimi E Fahriu'' ,1803e,04D,0,1,06:00,06:17,0,6,1,600,586,2,1,1,1,1,7,1,1,1,1,39,118,192,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,261,1,1,1,1,261,11,1,1,1,1,0,2,44,44,1,,,0
,505/949,Gllogoc,Shkolla Fillore Fazli Grajçevci,0324e,01D,1,1,06:00,06:30,1,6,0,600,567,2,1,1,1,1,7,1,1,1,1,25,105,237,300,10,7,20,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,293,1,0,1,1,293,25,1,1,1,0,3,2,7,7,0,,,0
,50518,Podujevë,Shkolla e Mesme Ekonomike  'Isa Boletini' ,1824e,05R,1,1,06:00,06:30,1,5,1,800,913,2,1,1,1,1,7,1,1,1,1,50,100,245,384,5,0,5,1,2,2,2,2,2,1,1,2,2,0,0,0,2,19:05,2,2,2,2,1,1,1,1,384,1,1,1,1,384,4,1,1,0,0,4,2,0,0,0,,,0
,505/1799,Gllogoc,Shkolla 'Xheladin Gashi - Plaku ',0302e,03R,1,1,06:00,06:05,2,6,1,800,935,3,1,1,1,1,7,1,1,1,1,71,184,377,494,0,0,32,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,434,1,1,1,1,434,28,1,0,1,1,4,2,0,0,0,,,0
,505/18,Podujevë,Shkolla Fillore ''Afrimi E Fahriu'' ,1803e,03R,1,1,06:30,06:20,1,5,0,650,796,2,1,1,1,1,7,1,1,1,1,41,125,208,335,0,0,4,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:02,2,0,2,2,1,1,1,1,335,1,1,1,0,335,19,1,1,1,1,3,2,0,0,0,,,0
,505/1116,Gllogoc,Shkolla 'Luigj Gurakuqi',0311e,03D,0,1,06:00,05:47,1,9,2,850,822,3,1,1,1,1,7,1,1,1,1,66,152,312,438,7,57,13,1,1,2,2,2,2,2,1,2,2,7,0,0,1,19:03,2,2,2,2,1,1,1,1,438,1,1,1,1,438,16,1,1,1,1,4,2,57,57,0,,08/06/2014,1
,505/668,Gllogoc,Shkolla 'Mehmet Grabica',0305e,02D,1,1,06:20,07:00,1,6,1,700,693,3,1,1,1,1,7,1,1,1,1,45,120,245,318,0,25,0,1,2,2,2,2,2,2,2,2,0,0,0,0,2,19:00,2,0,1,2,1,1,1,1,318,1,1,1,1,318,25,1,1,1,1,4,2,25,25,1,,,0
